Date	MH-TD	MH-D
1/21/2020	0	0
1/22/2020	0	0
1/23/2020	0	0
1/24/2020	0	0
1/25/2020	0	0
1/26/2020	0	0
1/27/2020	0	0
1/28/2020	0	0
1/29/2020	0	0
1/30/2020	0	0
1/31/2020	0	0
2/1/2020	0	0
2/2/2020	0	0
2/3/2020	0	0
2/4/2020	0	0
2/5/2020	0	0
2/6/2020	0	0
2/7/2020	0	0
2/8/2020	0	0
2/9/2020	0	0
2/10/2020	0	0
2/11/2020	0	0
2/12/2020	0	0
2/13/2020	0	0
2/14/2020	0	0
2/15/2020	0	0
2/16/2020	0	0
2/17/2020	0	0
2/18/2020	0	0
2/19/2020	0	0
2/20/2020	0	0
2/21/2020	0	0
2/22/2020	0	0
2/23/2020	0	0
2/24/2020	0	0
2/25/2020	0	0
2/26/2020	0	0
2/27/2020	0	0
2/28/2020	0	0
2/29/2020	0	0
3/1/2020	0	0
3/2/2020	0	0
3/3/2020	0	0
3/4/2020	0	0
3/5/2020	0	0
3/6/2020	0	0
3/7/2020	0	0
3/8/2020	0	0
3/9/2020	0	0
3/10/2020	0	0
3/11/2020	0	0
3/12/2020	0	0
3/13/2020	0	0
3/14/2020	0	0
3/15/2020	0	0
3/16/2020	0	0
3/17/2020	1	1
3/18/2020	1	0
3/19/2020	1	0
3/20/2020	1	0
3/21/2020	1	0
3/22/2020	2	1
3/23/2020	2	0
3/24/2020	3	1
3/25/2020	3	0
3/26/2020	4	1
3/27/2020	5	1
3/28/2020	6	1
3/29/2020	8	2
3/30/2020	10	2
3/31/2020	10	0
4/1/2020	16	6
4/2/2020	20	4
4/3/2020	26	6
4/4/2020	32	6
4/5/2020	45	13
4/6/2020	52	7
4/7/2020	64	12
4/8/2020	72	8
4/9/2020	97	25
4/10/2020	110	13
4/11/2020	127	17
4/12/2020	149	22
4/13/2020	160	11
4/14/2020	178	18
4/15/2020	187	9
4/16/2020	194	7
4/17/2020	201	7
4/18/2020	211	10
4/19/2020	223	12
4/20/2020	232	9
4/21/2020	251	19
4/22/2020	269	18
4/23/2020	283	14
4/24/2020	301	18
4/25/2020	323	22
4/26/2020	342	19
4/27/2020	369	27
4/28/2020	400	31
4/29/2020	432	32
4/30/2020	459	27
5/1/2020	485	26
5/2/2020	521	36
5/3/2020	548	27
5/4/2020	583	35
5/5/2020	617	34
5/6/2020	651	34
5/7/2020	694	43
5/8/2020	731	37
5/9/2020	779	48
5/10/2020	832	53
5/11/2020	868	36
5/12/2020	921	53
5/13/2020	975	54
5/14/2020	1018	43
5/15/2020	1067	49
5/16/2020	1134	67
5/17/2020	1198	64
5/18/2020	1249	51
5/19/2020	1325	76
5/20/2020	1389	64
5/21/2020	1453	64
5/22/2020	1516	63
5/23/2020	1576	60
5/24/2020	1634	58
5/25/2020	1694	60
5/26/2020	1792	98
5/27/2020	1897	105
5/28/2020	1982	85
5/29/2020	2098	116
5/30/2020	2197	99
5/31/2020	2285	88
6/1/2020	2365	80
6/2/2020	2465	100
6/3/2020	2587	122
6/4/2020	2710	123
6/5/2020	2849	139
6/6/2020	2969	120
6/7/2020	3060	91
6/8/2020	3169	109
6/9/2020	3289	120
6/10/2020	3438	149
6/11/2020	3590	152
6/12/2020	3717	127
6/13/2020	3830	113
6/14/2020	0	0
