Date	UP-TD	UP-D
1/21/2020	0	0
1/22/2020	0	0
1/23/2020	0	0
1/24/2020	0	0
1/25/2020	0	0
1/26/2020	0	0
1/27/2020	0	0
1/28/2020	0	0
1/29/2020	0	0
1/30/2020	0	0
1/31/2020	0	0
2/1/2020	0	0
2/2/2020	0	0
2/3/2020	0	0
2/4/2020	0	0
2/5/2020	0	0
2/6/2020	0	0
2/7/2020	0	0
2/8/2020	0	0
2/9/2020	0	0
2/10/2020	0	0
2/11/2020	0	0
2/12/2020	0	0
2/13/2020	0	0
2/14/2020	0	0
2/15/2020	0	0
2/16/2020	0	0
2/17/2020	0	0
2/18/2020	0	0
2/19/2020	0	0
2/20/2020	0	0
2/21/2020	0	0
2/22/2020	0	0
2/23/2020	0	0
2/24/2020	0	0
2/25/2020	0	0
2/26/2020	0	0
2/27/2020	0	0
2/28/2020	0	0
2/29/2020	0	0
3/1/2020	0	0
3/2/2020	0	0
3/3/2020	0	0
3/4/2020	0	0
3/5/2020	0	0
3/6/2020	0	0
3/7/2020	0	0
3/8/2020	0	0
3/9/2020	0	0
3/10/2020	0	0
3/11/2020	0	0
3/12/2020	0	0
3/13/2020	0	0
3/14/2020	0	0
3/15/2020	0	0
3/16/2020	0	0
3/17/2020	0	0
3/18/2020	0	0
3/19/2020	0	0
3/20/2020	0	0
3/21/2020	0	0
3/22/2020	0	0
3/23/2020	0	0
3/24/2020	0	0
3/25/2020	0	0
3/26/2020	0	0
3/27/2020	0	0
3/28/2020	0	0
3/29/2020	0	0
3/30/2020	0	0
3/31/2020	0	0
4/1/2020	2	2
4/2/2020	2	0
4/3/2020	2	0
4/4/2020	2	0
4/5/2020	3	1
4/6/2020	3	0
4/7/2020	3	0
4/8/2020	4	1
4/9/2020	4	0
4/10/2020	4	0
4/11/2020	5	1
4/12/2020	5	0
4/13/2020	5	0
4/14/2020	8	3
4/15/2020	11	3
4/16/2020	13	2
4/17/2020	14	1
4/18/2020	14	0
4/19/2020	17	3
4/20/2020	18	1
4/21/2020	21	3
4/22/2020	21	0
4/23/2020	24	3
4/24/2020	25	1
4/25/2020	27	2
4/26/2020	30	3
4/27/2020	31	1
4/28/2020	34	3
4/29/2020	39	5
4/30/2020	40	1
5/1/2020	42	2
5/2/2020	43	1
5/3/2020	43	0
5/4/2020	50	7
5/5/2020	56	6
5/6/2020	60	4
5/7/2020	62	2
5/8/2020	66	4
5/9/2020	74	8
5/10/2020	79	5
5/11/2020	80	1
5/12/2020	82	2
5/13/2020	86	4
5/14/2020	88	2
5/15/2020	95	7
5/16/2020	104	9
5/17/2020	112	8
5/18/2020	118	6
5/19/2020	123	5
5/20/2020	127	4
5/21/2020	138	11
5/22/2020	152	14
5/23/2020	155	3
5/24/2020	161	6
5/25/2020	169	8
5/26/2020	177	8
5/27/2020	182	5
5/28/2020	197	15
5/29/2020	201	4
5/30/2020	213	12
5/31/2020	217	4
6/1/2020	222	5
6/2/2020	229	7
6/3/2020	230	1
6/4/2020	245	15
6/5/2020	257	12
6/6/2020	268	11
6/7/2020	275	7
6/8/2020	283	8
6/9/2020	301	18
6/10/2020	321	20
6/11/2020	0	0
6/12/2020	0	0
6/13/2020	0	0
6/14/2020	0	0
