Date	UP-TR	BR-TR	GJ-TR	MH-TR	KR-TR	UP-R	BR-R	GJ-R	MH-R	KR-R
1/21/2020	0	0	0	0	0	0	0	0	0	0
1/22/2020	0	0	0	0	0	0	0	0	0	0
1/23/2020	0	0	0	0	0	0	0	0	0	0
1/24/2020	0	0	0	0	0	0	0	0	0	0
1/25/2020	0	0	0	0	0	0	0	0	0	0
1/26/2020	0	0	0	0	0	0	0	0	0	0
1/27/2020	0	0	0	0	0	0	0	0	0	0
1/28/2020	0	0	0	0	0	0	0	0	0	0
1/29/2020	0	0	0	0	0	0	0	0	0	0
1/30/2020	0	0	0	0	0	0	0	0	0	0
1/31/2020	0	0	0	0	0	0	0	0	0	0
2/1/2020	0	0	0	0	0	0	0	0	0	0
2/2/2020	0	0	0	0	0	0	0	0	0	0
2/3/2020	0	0	0	0	0	0	0	0	0	0
2/4/2020	0	0	0	0	0	0	0	0	0	0
2/5/2020	0	0	0	0	0	0	0	0	0	0
2/6/2020	0	0	0	0	0	0	0	0	0	0
2/7/2020	0	0	0	0	0	0	0	0	0	0
2/8/2020	0	0	0	0	0	0	0	0	0	0
2/9/2020	0	0	0	0	0	0	0	0	0	0
2/10/2020	0	0	0	0	0	0	0	0	0	0
2/11/2020	0	0	0	0	0	0	0	0	0	0
2/12/2020	0	0	0	0	0	0	0	0	0	0
2/13/2020	0	0	0	0	0	0	0	0	0	0
2/14/2020	0	0	0	0	0	0	0	0	0	0
2/15/2020	0	0	0	0	0	0	0	0	0	0
2/16/2020	0	0	0	0	0	0	0	0	0	0
2/17/2020	0	0	0	0	0	0	0	0	0	0
2/18/2020	0	0	0	0	0	0	0	0	0	0
2/19/2020	0	0	0	0	0	0	0	0	0	0
2/20/2020	0	0	0	0	0	0	0	0	0	0
2/21/2020	0	0	0	0	0	0	0	0	0	0
2/22/2020	0	0	0	0	0	0	0	0	0	0
2/23/2020	0	0	0	0	0	0	0	0	0	0
2/24/2020	0	0	0	0	0	0	0	0	0	0
2/25/2020	0	0	0	0	0	0	0	0	0	0
2/26/2020	0	0	0	0	0	0	0	0	0	0
2/27/2020	0	0	0	0	0	0	0	0	0	0
2/28/2020	0	0	0	0	0	0	0	0	0	0
2/29/2020	0	0	0	0	0	0	0	0	0	0
3/1/2020	0	0	0	0	0	0	0	0	0	0
3/2/2020	0	0	0	0	0	0	0	0	0	0
3/3/2020	0	0	0	0	0	0	0	0	0	0
3/4/2020	0	0	0	0	0	0	0	0	0	0
3/5/2020	0	0	0	0	0	0	0	0	0	0
3/6/2020	0	0	0	0	0	0	0	0	0	0
3/7/2020	0	0	0	0	0	0	0	0	0	0
3/8/2020	0	0	0	0	3	0	0	0	0	3
3/9/2020	1	0	0	0	3	1	0	0	0	0
3/10/2020	1	0	0	0	3	0	0	0	0	0
3/11/2020	1	0	0	0	3	0	0	0	0	0
3/12/2020	3	0	0	0	3	2	0	0	0	0
3/13/2020	4	0	0	0	3	1	0	0	0	0
3/14/2020	4	0	0	0	3	0	0	0	0	0
3/15/2020	4	0	0	0	3	0	0	0	0	0
3/16/2020	4	0	0	0	3	0	0	0	0	0
3/17/2020	5	0	0	0	3	1	0	0	0	0
3/18/2020	5	0	0	0	3	0	0	0	0	0
3/19/2020	9	0	0	0	3	4	0	0	0	0
3/20/2020	9	0	0	0	3	0	0	0	0	0
3/21/2020	9	0	0	0	3	0	0	0	0	0
3/22/2020	9	0	0	0	3	0	0	0	0	0
3/23/2020	9	0	0	0	4	0	0	0	0	1
3/24/2020	11	0	0	2	4	2	0	0	2	0
3/25/2020	11	0	0	4	6	0	0	0	2	2
3/26/2020	11	0	0	4	11	0	0	0	0	5
3/27/2020	11	0	0	24	12	0	0	0	20	1
3/28/2020	11	0	0	26	16	0	0	0	2	4
3/29/2020	11	0	0	35	20	0	0	0	9	4
3/30/2020	17	0	4	39	20	6	0	4	4	0
3/31/2020	17	0	6	39	24	0	0	2	0	4
4/1/2020	17	0	7	41	26	0	0	1	2	2
4/2/2020	17	3	7	42	28	0	3	0	1	2
4/3/2020	17	3	10	50	42	0	0	3	8	14
4/4/2020	21	3	14	52	50	4	0	4	2	8
4/5/2020	21	3	17	56	56	0	0	3	4	6
4/6/2020	21	9	22	66	59	0	6	5	10	3
4/7/2020	21	15	25	79	71	0	6	3	13	12
