Date	BR-TR	BR-R
1/21/2020	0	0
1/22/2020	0	0
1/23/2020	0	0
1/24/2020	0	0
1/25/2020	0	0
1/26/2020	0	0
1/27/2020	0	0
1/28/2020	0	0
1/29/2020	0	0
1/30/2020	0	0
1/31/2020	0	0
2/1/2020	0	0
2/2/2020	0	0
2/3/2020	0	0
2/4/2020	0	0
2/5/2020	0	0
2/6/2020	0	0
2/7/2020	0	0
2/8/2020	0	0
2/9/2020	0	0
2/10/2020	0	0
2/11/2020	0	0
2/12/2020	0	0
2/13/2020	0	0
2/14/2020	0	0
2/15/2020	0	0
2/16/2020	0	0
2/17/2020	0	0
2/18/2020	0	0
2/19/2020	0	0
2/20/2020	0	0
2/21/2020	0	0
2/22/2020	0	0
2/23/2020	0	0
2/24/2020	0	0
2/25/2020	0	0
2/26/2020	0	0
2/27/2020	0	0
2/28/2020	0	0
2/29/2020	0	0
3/1/2020	0	0
3/2/2020	0	0
3/3/2020	0	0
3/4/2020	0	0
3/5/2020	0	0
3/6/2020	0	0
3/7/2020	0	0
3/8/2020	0	0
3/9/2020	0	0
3/10/2020	0	0
3/11/2020	0	0
3/12/2020	0	0
3/13/2020	0	0
3/14/2020	0	0
3/15/2020	0	0
3/16/2020	0	0
3/17/2020	0	0
3/18/2020	0	0
3/19/2020	0	0
3/20/2020	0	0
3/21/2020	0	0
3/22/2020	0	0
3/23/2020	0	0
3/24/2020	0	0
3/25/2020	0	0
3/26/2020	0	0
3/27/2020	0	0
3/28/2020	0	0
3/29/2020	0	0
3/30/2020	0	0
3/31/2020	0	0
4/1/2020	0	0
4/2/2020	3	3
4/3/2020	3	0
4/4/2020	3	0
4/5/2020	3	0
4/6/2020	9	6
4/7/2020	15	6
4/8/2020	15	0
4/9/2020	15	0
4/10/2020	15	0
4/11/2020	15	0
4/12/2020	26	11
4/13/2020	28	2
4/14/2020	29	1
4/15/2020	29	0
4/16/2020	37	8
4/17/2020	37	0
4/18/2020	42	5
4/19/2020	42	0
4/20/2020	42	0
4/21/2020	42	0
4/22/2020	42	0
4/23/2020	44	2
4/24/2020	44	0
4/25/2020	45	1
4/26/2020	56	11
4/27/2020	56	0
4/28/2020	64	8
4/29/2020	65	1
4/30/2020	84	19
5/1/2020	98	14
5/2/2020	117	19
5/3/2020	124	7
5/4/2020	129	5
5/5/2020	160	31
5/6/2020	188	28
5/7/2020	246	58
5/8/2020	267	21
5/9/2020	318	51
5/10/2020	358	40
5/11/2020	382	24
5/12/2020	390	8
5/13/2020	400	10
5/14/2020	412	12
5/15/2020	440	28
5/16/2020	473	33
5/17/2020	499	26
5/18/2020	517	18
5/19/2020	548	31
5/20/2020	571	23
5/21/2020	593	22
5/22/2020	629	36
5/23/2020	677	48
5/24/2020	733	56
5/25/2020	800	67
5/26/2020	800	0
5/27/2020	918	118
5/28/2020	1050	132
5/29/2020	1209	159
5/30/2020	1311	102
5/31/2020	1520	209
6/1/2020	1741	221
6/2/2020	1803	62
6/3/2020	2025	222
6/4/2020	2120	95
6/5/2020	2233	113
6/6/2020	2298	65
6/7/2020	2405	107
6/8/2020	2542	137
6/9/2020	2770	228
6/10/2020	2934	164
6/11/2020	3086	152
6/12/2020	3316	230
6/13/2020	3686	370
6/14/2020	0	0
