Date	KR-TR	KR-R
1/21/2020	0	0
1/22/2020	0	0
1/23/2020	0	0
1/24/2020	0	0
1/25/2020	0	0
1/26/2020	0	0
1/27/2020	0	0
1/28/2020	0	0
1/29/2020	0	0
1/30/2020	0	0
1/31/2020	0	0
2/1/2020	0	0
2/2/2020	0	0
2/3/2020	0	0
2/4/2020	0	0
2/5/2020	0	0
2/6/2020	0	0
2/7/2020	0	0
2/8/2020	0	0
2/9/2020	0	0
2/10/2020	0	0
2/11/2020	0	0
2/12/2020	0	0
2/13/2020	0	0
2/14/2020	0	0
2/15/2020	0	0
2/16/2020	0	0
2/17/2020	0	0
2/18/2020	0	0
2/19/2020	0	0
2/20/2020	0	0
2/21/2020	0	0
2/22/2020	0	0
2/23/2020	0	0
2/24/2020	0	0
2/25/2020	0	0
2/26/2020	0	0
2/27/2020	0	0
2/28/2020	0	0
2/29/2020	0	0
3/1/2020	0	0
3/2/2020	0	0
3/3/2020	0	0
3/4/2020	0	0
3/5/2020	0	0
3/6/2020	0	0
3/7/2020	0	0
3/8/2020	3	3
3/9/2020	3	0
3/10/2020	3	0
3/11/2020	3	0
3/12/2020	3	0
3/13/2020	3	0
3/14/2020	3	0
3/15/2020	3	0
3/16/2020	3	0
3/17/2020	3	0
3/18/2020	3	0
3/19/2020	3	0
3/20/2020	3	0
3/21/2020	3	0
3/22/2020	3	0
3/23/2020	4	1
3/24/2020	4	0
3/25/2020	6	2
3/26/2020	11	5
3/27/2020	12	1
3/28/2020	16	4
3/29/2020	20	4
3/30/2020	20	0
3/31/2020	24	4
4/1/2020	26	2
4/2/2020	28	2
4/3/2020	42	14
4/4/2020	50	8
4/5/2020	56	6
4/6/2020	59	3
4/7/2020	71	12
4/8/2020	84	13
4/9/2020	97	13
4/10/2020	124	27
4/11/2020	143	19
4/12/2020	179	36
4/13/2020	198	19
4/14/2020	211	13
4/15/2020	218	7
4/16/2020	245	27
4/17/2020	255	10
4/18/2020	257	2
4/19/2020	270	13
4/20/2020	291	21
4/21/2020	307	16
4/22/2020	308	1
4/23/2020	316	8
4/24/2020	331	15
4/25/2020	338	7
4/26/2020	342	4
4/27/2020	355	13
4/28/2020	359	4
4/29/2020	369	10
4/30/2020	383	14
5/1/2020	392	9
5/2/2020	400	8
5/3/2020	401	1
5/4/2020	462	61
5/5/2020	462	0
5/6/2020	469	7
5/7/2020	474	5
5/8/2020	484	10
5/9/2020	485	1
5/10/2020	489	4
5/11/2020	489	0
5/12/2020	489	0
5/13/2020	490	1
5/14/2020	493	3
5/15/2020	493	0
5/16/2020	497	4
5/17/2020	497	0
5/18/2020	497	0
5/19/2020	497	0
5/20/2020	502	5
5/21/2020	510	8
5/22/2020	512	2
5/23/2020	515	3
5/24/2020	520	5
5/25/2020	532	12
5/26/2020	542	10
5/27/2020	552	10
5/28/2020	555	3
5/29/2020	565	10
5/30/2020	575	10
5/31/2020	590	15
6/1/2020	608	18
6/2/2020	627	19
6/3/2020	651	24
6/4/2020	690	39
6/5/2020	712	22
6/6/2020	762	50
6/7/2020	803	41
6/8/2020	814	11
6/9/2020	848	34
6/10/2020	905	57
6/11/2020	967	62
6/12/2020	999	32
6/13/2020	1045	46
6/14/2020	0	0
