Date	MH-TR	MH-R
1/21/2020	0	0
1/22/2020	0	0
1/23/2020	0	0
1/24/2020	0	0
1/25/2020	0	0
1/26/2020	0	0
1/27/2020	0	0
1/28/2020	0	0
1/29/2020	0	0
1/30/2020	0	0
1/31/2020	0	0
2/1/2020	0	0
2/2/2020	0	0
2/3/2020	0	0
2/4/2020	0	0
2/5/2020	0	0
2/6/2020	0	0
2/7/2020	0	0
2/8/2020	0	0
2/9/2020	0	0
2/10/2020	0	0
2/11/2020	0	0
2/12/2020	0	0
2/13/2020	0	0
2/14/2020	0	0
2/15/2020	0	0
2/16/2020	0	0
2/17/2020	0	0
2/18/2020	0	0
2/19/2020	0	0
2/20/2020	0	0
2/21/2020	0	0
2/22/2020	0	0
2/23/2020	0	0
2/24/2020	0	0
2/25/2020	0	0
2/26/2020	0	0
2/27/2020	0	0
2/28/2020	0	0
2/29/2020	0	0
3/1/2020	0	0
3/2/2020	0	0
3/3/2020	0	0
3/4/2020	0	0
3/5/2020	0	0
3/6/2020	0	0
3/7/2020	0	0
3/8/2020	0	0
3/9/2020	0	0
3/10/2020	0	0
3/11/2020	0	0
3/12/2020	0	0
3/13/2020	0	0
3/14/2020	0	0
3/15/2020	0	0
3/16/2020	0	0
3/17/2020	0	0
3/18/2020	0	0
3/19/2020	0	0
3/20/2020	0	0
3/21/2020	0	0
3/22/2020	0	0
3/23/2020	0	0
3/24/2020	2	2
3/25/2020	4	2
3/26/2020	4	0
3/27/2020	24	20
3/28/2020	26	2
3/29/2020	35	9
3/30/2020	39	4
3/31/2020	39	0
4/1/2020	41	2
4/2/2020	42	1
4/3/2020	50	8
4/4/2020	52	2
4/5/2020	56	4
4/6/2020	66	10
4/7/2020	79	13
4/8/2020	117	38
4/9/2020	125	8
4/10/2020	188	63
4/11/2020	208	20
4/12/2020	217	9
4/13/2020	228	11
4/14/2020	259	31
4/15/2020	295	36
4/16/2020	300	5
4/17/2020	331	31
4/18/2020	365	34
4/19/2020	507	142
4/20/2020	572	65
4/21/2020	722	150
4/22/2020	789	67
4/23/2020	840	51
4/24/2020	957	117
4/25/2020	1076	119
4/26/2020	1188	112
4/27/2020	1282	94
4/28/2020	1388	106
4/29/2020	1593	205
4/30/2020	1773	180
5/1/2020	1879	106
5/2/2020	2000	121
5/3/2020	2115	115
5/4/2020	2465	350
5/5/2020	2819	354
5/6/2020	3094	275
5/7/2020	3301	207
5/8/2020	3470	169
5/9/2020	3800	330
5/10/2020	4199	399
5/11/2020	4786	587
5/12/2020	5125	339
5/13/2020	5547	422
5/14/2020	6089	542
5/15/2020	6564	475
5/16/2020	7088	524
5/17/2020	7688	600
5/18/2020	8437	749
5/19/2020	9639	1202
5/20/2020	10318	679
5/21/2020	11726	1408
5/22/2020	12583	857
5/23/2020	13404	821
5/24/2020	14600	1196
5/25/2020	15786	1186
5/26/2020	16954	1168
5/27/2020	17918	964
5/28/2020	18616	698
5/29/2020	26997	8381
5/30/2020	28081	1084
5/31/2020	29329	1248
6/1/2020	30108	779
6/2/2020	31333	1225
6/3/2020	32329	996
6/4/2020	33681	1352
6/5/2020	35156	1475
6/6/2020	37390	2234
6/7/2020	39314	1924
6/8/2020	40975	1661
6/9/2020	42639	1664
6/10/2020	44515	1876
6/11/2020	46078	1563
6/12/2020	47796	1718
6/13/2020	49364	1568
6/14/2020	0	0
