Date	UP-TC	BR-TC	GJ-TC	MH-TC	KR-TC	UP-C	BR-C	GJ-C	MH-C	KR-C
1/21/2020	0	0	0	0	0	0	0	0	0	0
1/22/2020	0	0	0	0	0	0	0	0	0	0
1/23/2020	0	0	0	0	0	0	0	0	0	0
1/24/2020	0	0	0	0	0	0	0	0	0	0
1/25/2020	0	0	0	0	0	0	0	0	0	0
1/26/2020	0	0	0	0	0	0	0	0	0	0
1/27/2020	0	0	0	0	0	0	0	0	0	0
1/28/2020	0	0	0	0	0	0	0	0	0	0
1/29/2020	0	0	0	0	0	0	0	0	0	0
1/30/2020	0	0	0	0	1	0	0	0	0	1
1/31/2020	0	0	0	0	0	0	0	0	0	0
2/1/2020	0	0	0	0	1	0	0	0	0	1
2/2/2020	0	0	0	0	2	0	0	0	0	1
2/3/2020	0	0	0	0	3	0	0	0	0	1
2/4/2020	0	0	0	0	0	0	0	0	0	0
2/5/2020	0	0	0	0	0	0	0	0	0	0
2/6/2020	0	0	0	0	0	0	0	0	0	0
2/7/2020	0	0	0	0	0	0	0	0	0	0
2/8/2020	0	0	0	0	0	0	0	0	0	0
2/9/2020	0	0	0	0	0	0	0	0	0	0
2/10/2020	0	0	0	0	0	0	0	0	0	0
2/11/2020	0	0	0	0	0	0	0	0	0	0
2/12/2020	0	0	0	0	0	0	0	0	0	0
2/13/2020	0	0	0	0	0	0	0	0	0	0
2/14/2020	0	0	0	0	0	0	0	0	0	0
2/15/2020	0	0	0	0	0	0	0	0	0	0
2/16/2020	0	0	0	0	0	0	0	0	0	0
2/17/2020	0	0	0	0	0	0	0	0	0	0
2/18/2020	0	0	0	0	0	0	0	0	0	0
2/19/2020	0	0	0	0	0	0	0	0	0	0
2/20/2020	0	0	0	0	0	0	0	0	0	0
2/21/2020	0	0	0	0	0	0	0	0	0	0
2/22/2020	0	0	0	0	0	0	0	0	0	0
2/23/2020	0	0	0	0	0	0	0	0	0	0
2/24/2020	0	0	0	0	0	0	0	0	0	0
2/25/2020	0	0	0	0	0	0	0	0	0	0
2/26/2020	0	0	0	0	0	0	0	0	0	0
2/27/2020	0	0	0	0	0	0	0	0	0	0
2/28/2020	0	0	0	0	0	0	0	0	0	0
2/29/2020	0	0	0	0	0	0	0	0	0	0
3/1/2020	0	0	0	0	0	0	0	0	0	0
3/2/2020	0	0	0	0	0	0	0	0	0	0
3/3/2020	0	0	0	0	0	0	0	0	0	0
3/4/2020	6	0	0	0	0	6	0	0	0	0
3/5/2020	7	0	0	0	0	1	0	0	0	0
3/6/2020	7	0	0	0	0	0	0	0	0	0
3/7/2020	7	0	0	0	0	0	0	0	0	0
3/8/2020	7	0	0	0	8	0	0	0	0	8
3/9/2020	8	0	0	2	8	1	0	0	2	0
3/10/2020	8	0	0	5	14	0	0	0	3	6
3/11/2020	8	0	0	11	14	0	0	0	6	0
3/12/2020	10	0	0	11	19	2	0	0	0	5
3/13/2020	11	0	0	19	22	1	0	0	8	3
3/14/2020	12	0	0	31	22	1	0	0	12	0
3/15/2020	13	0	0	33	24	1	0	0	2	2
3/16/2020	13	0	0	39	27	0	0	0	6	3
3/17/2020	15	0	0	41	27	2	0	0	2	0
3/18/2020	17	0	0	45	27	2	0	0	4	0
3/19/2020	20	0	2	48	28	3	0	2	3	1
3/20/2020	24	0	7	52	40	4	0	5	4	12
3/21/2020	28	0	14	64	52	4	0	7	12	12
3/22/2020	30	0	18	74	67	2	0	4	10	15
3/23/2020	32	3	30	97	95	2	3	12	23	28
3/24/2020	35	3	36	107	109	3	0	6	10	14
3/25/2020	38	4	38	122	118	3	1	2	15	9
3/26/2020	42	7	44	130	137	4	3	6	8	19
3/27/2020	49	9	47	153	176	7	2	3	23	39
3/28/2020	65	11	55	186	182	16	2	8	33	6
3/29/2020	72	15	63	203	202	7	4	8	17	20
3/30/2020	96	15	70	220	234	24	0	7	17	32
3/31/2020	104	21	74	302	241	8	6	4	82	7
4/1/2020	117	24	87	335	265	13	3	13	33	24
4/2/2020	128	29	88	423	286	11	5	1	88	21
4/3/2020	174	31	95	490	295	46	2	7	67	9
4/4/2020	234	32	108	635	306	60	1	13	145	11
4/5/2020	278	32	128	748	314	44	0	20	113	8
4/6/2020	305	32	146	868	327	27	0	18	120	13
4/7/2020	332	38	175	1018	335	27	6	29	150	8
