Date	BR-TC	BR-C
1/21/2020	0	0
1/22/2020	0	0
1/23/2020	0	0
1/24/2020	0	0
1/25/2020	0	0
1/26/2020	0	0
1/27/2020	0	0
1/28/2020	0	0
1/29/2020	0	0
1/30/2020	0	0
1/31/2020	0	0
2/1/2020	0	0
2/2/2020	0	0
2/3/2020	0	0
2/4/2020	0	0
2/5/2020	0	0
2/6/2020	0	0
2/7/2020	0	0
2/8/2020	0	0
2/9/2020	0	0
2/10/2020	0	0
2/11/2020	0	0
2/12/2020	0	0
2/13/2020	0	0
2/14/2020	0	0
2/15/2020	0	0
2/16/2020	0	0
2/17/2020	0	0
2/18/2020	0	0
2/19/2020	0	0
2/20/2020	0	0
2/21/2020	0	0
2/22/2020	0	0
2/23/2020	0	0
2/24/2020	0	0
2/25/2020	0	0
2/26/2020	0	0
2/27/2020	0	0
2/28/2020	0	0
2/29/2020	0	0
3/1/2020	0	0
3/2/2020	0	0
3/3/2020	0	0
3/4/2020	0	0
3/5/2020	0	0
3/6/2020	0	0
3/7/2020	0	0
3/8/2020	0	0
3/9/2020	0	0
3/10/2020	0	0
3/11/2020	0	0
3/12/2020	0	0
3/13/2020	0	0
3/14/2020	0	0
3/15/2020	0	0
3/16/2020	0	0
3/17/2020	0	0
3/18/2020	0	0
3/19/2020	0	0
3/20/2020	0	0
3/21/2020	0	0
3/22/2020	0	0
3/23/2020	3	3
3/24/2020	3	0
3/25/2020	4	1
3/26/2020	7	3
3/27/2020	9	2
3/28/2020	11	2
3/29/2020	15	4
3/30/2020	15	0
3/31/2020	21	6
4/1/2020	24	3
4/2/2020	29	5
4/3/2020	31	2
4/4/2020	32	1
4/5/2020	32	0
4/6/2020	32	0
4/7/2020	38	6
4/8/2020	39	1
4/9/2020	58	19
4/10/2020	60	2
4/11/2020	64	4
4/12/2020	64	0
4/13/2020	66	2
4/14/2020	66	0
4/15/2020	72	6
4/16/2020	83	11
4/17/2020	85	2
4/18/2020	86	1
4/19/2020	96	10
4/20/2020	113	17
4/21/2020	126	13
4/22/2020	143	17
4/23/2020	170	27
4/24/2020	223	53
4/25/2020	251	28
4/26/2020	277	26
4/27/2020	346	69
4/28/2020	366	20
4/29/2020	403	37
4/30/2020	425	22
5/1/2020	466	41
5/2/2020	482	16
5/3/2020	517	35
5/4/2020	528	11
5/5/2020	535	7
5/6/2020	542	7
5/7/2020	550	8
5/8/2020	569	19
5/9/2020	611	42
5/10/2020	707	96
5/11/2020	761	54
5/12/2020	879	118
5/13/2020	953	74
5/14/2020	999	46
5/15/2020	1079	80
5/16/2020	1178	99
5/17/2020	1326	148
5/18/2020	1442	116
5/19/2020	1786	344
5/20/2020	1987	201
5/21/2020	2166	179
5/22/2020	2394	228
5/23/2020	2574	180
5/24/2020	2737	163
5/25/2020	2960	223
5/26/2020	2960	0
5/27/2020	3036	76
5/28/2020	3185	149
5/29/2020	3359	174
5/30/2020	3565	206
5/31/2020	3692	127
6/1/2020	3872	180
6/2/2020	4049	177
6/3/2020	4273	224
6/4/2020	4420	147
6/5/2020	4551	131
6/6/2020	4745	194
6/7/2020	4972	227
6/8/2020	5176	204
6/9/2020	5364	188
6/10/2020	5583	219
6/11/2020	5807	224
6/12/2020	6043	236
6/13/2020	6183	140
6/14/2020	0	0
