Date	GJ-TC	GJ-C
1/21/2020	0	0
1/22/2020	0	0
1/23/2020	0	0
1/24/2020	0	0
1/25/2020	0	0
1/26/2020	0	0
1/27/2020	0	0
1/28/2020	0	0
1/29/2020	0	0
1/30/2020	0	0
1/31/2020	0	0
2/1/2020	0	0
2/2/2020	0	0
2/3/2020	0	0
2/4/2020	0	0
2/5/2020	0	0
2/6/2020	0	0
2/7/2020	0	0
2/8/2020	0	0
2/9/2020	0	0
2/10/2020	0	0
2/11/2020	0	0
2/12/2020	0	0
2/13/2020	0	0
2/14/2020	0	0
2/15/2020	0	0
2/16/2020	0	0
2/17/2020	0	0
2/18/2020	0	0
2/19/2020	0	0
2/20/2020	0	0
2/21/2020	0	0
2/22/2020	0	0
2/23/2020	0	0
2/24/2020	0	0
2/25/2020	0	0
2/26/2020	0	0
2/27/2020	0	0
2/28/2020	0	0
2/29/2020	0	0
3/1/2020	0	0
3/2/2020	0	0
3/3/2020	0	0
3/4/2020	0	0
3/5/2020	0	0
3/6/2020	0	0
3/7/2020	0	0
3/8/2020	0	0
3/9/2020	0	0
3/10/2020	0	0
3/11/2020	0	0
3/12/2020	0	0
3/13/2020	0	0
3/14/2020	0	0
3/15/2020	0	0
3/16/2020	0	0
3/17/2020	0	0
3/18/2020	0	0
3/19/2020	2	2
3/20/2020	7	5
3/21/2020	14	7
3/22/2020	18	4
3/23/2020	30	12
3/24/2020	36	6
3/25/2020	38	2
3/26/2020	44	6
3/27/2020	47	3
3/28/2020	55	8
3/29/2020	63	8
3/30/2020	70	7
3/31/2020	74	4
4/1/2020	87	13
4/2/2020	88	1
4/3/2020	95	7
4/4/2020	108	13
4/5/2020	128	20
4/6/2020	146	18
4/7/2020	175	29
4/8/2020	186	11
4/9/2020	262	76
4/10/2020	378	116
4/11/2020	468	90
4/12/2020	516	48
4/13/2020	572	56
4/14/2020	650	78
4/15/2020	766	116
4/16/2020	929	163
4/17/2020	1099	170
4/18/2020	1376	277
4/19/2020	1743	367
4/20/2020	1939	196
4/21/2020	2178	239
4/22/2020	2407	229
4/23/2020	2624	217
4/24/2020	2815	191
4/25/2020	3071	256
4/26/2020	3301	230
4/27/2020	3548	247
4/28/2020	3774	226
4/29/2020	4082	308
4/30/2020	4395	313
5/1/2020	4721	326
5/2/2020	5054	333
5/3/2020	5428	374
5/4/2020	5804	376
5/5/2020	6245	441
5/6/2020	6625	380
5/7/2020	7012	387
5/8/2020	7402	390
5/9/2020	7796	394
5/10/2020	8194	398
5/11/2020	8541	347
5/12/2020	8903	362
5/13/2020	9267	364
5/14/2020	9591	324
5/15/2020	9931	340
5/16/2020	10988	1057
5/17/2020	11379	391
5/18/2020	11745	366
5/19/2020	12140	395
5/20/2020	12537	397
5/21/2020	12905	368
5/22/2020	13268	363
5/23/2020	13664	396
5/24/2020	14056	392
5/25/2020	14460	404
5/26/2020	14821	361
5/27/2020	15195	374
5/28/2020	15562	367
5/29/2020	15933	371
5/30/2020	16343	410
5/31/2020	16779	436
6/1/2020	17200	421
6/2/2020	17615	415
6/3/2020	18100	485
6/4/2020	18584	484
6/5/2020	19094	510
6/6/2020	19592	498
6/7/2020	20070	478
6/8/2020	20545	475
6/9/2020	21014	469
6/10/2020	21521	507
6/11/2020	22032	511
6/12/2020	22527	495
6/13/2020	0	0
6/14/2020	0	0
