Date	MH-TC	MH-C
1/21/2020	0	0
1/22/2020	0	0
1/23/2020	0	0
1/24/2020	0	0
1/25/2020	0	0
1/26/2020	0	0
1/27/2020	0	0
1/28/2020	0	0
1/29/2020	0	0
1/30/2020	0	0
1/31/2020	0	0
2/1/2020	0	0
2/2/2020	0	0
2/3/2020	0	0
2/4/2020	0	0
2/5/2020	0	0
2/6/2020	0	0
2/7/2020	0	0
2/8/2020	0	0
2/9/2020	0	0
2/10/2020	0	0
2/11/2020	0	0
2/12/2020	0	0
2/13/2020	0	0
2/14/2020	0	0
2/15/2020	0	0
2/16/2020	0	0
2/17/2020	0	0
2/18/2020	0	0
2/19/2020	0	0
2/20/2020	0	0
2/21/2020	0	0
2/22/2020	0	0
2/23/2020	0	0
2/24/2020	0	0
2/25/2020	0	0
2/26/2020	0	0
2/27/2020	0	0
2/28/2020	0	0
2/29/2020	0	0
3/1/2020	0	0
3/2/2020	0	0
3/3/2020	0	0
3/4/2020	0	0
3/5/2020	0	0
3/6/2020	0	0
3/7/2020	0	0
3/8/2020	0	0
3/9/2020	2	2
3/10/2020	5	3
3/11/2020	11	6
3/12/2020	11	0
3/13/2020	19	8
3/14/2020	31	12
3/15/2020	33	2
3/16/2020	39	6
3/17/2020	41	2
3/18/2020	45	4
3/19/2020	48	3
3/20/2020	52	4
3/21/2020	64	12
3/22/2020	74	10
3/23/2020	97	23
3/24/2020	107	10
3/25/2020	122	15
3/26/2020	130	8
3/27/2020	153	23
3/28/2020	186	33
3/29/2020	203	17
3/30/2020	220	17
3/31/2020	302	82
4/1/2020	335	33
4/2/2020	423	88
4/3/2020	490	67
4/4/2020	635	145
4/5/2020	748	113
4/6/2020	868	120
4/7/2020	1018	150
4/8/2020	1135	117
4/9/2020	1364	229
4/10/2020	1574	210
4/11/2020	1761	187
4/12/2020	1982	221
4/13/2020	2334	352
4/14/2020	2684	350
4/15/2020	2916	232
4/16/2020	3202	286
4/17/2020	3320	118
4/18/2020	3648	328
4/19/2020	4200	552
4/20/2020	4666	466
4/21/2020	5218	552
4/22/2020	5649	431
4/23/2020	6427	778
4/24/2020	6817	390
4/25/2020	7628	811
4/26/2020	8068	440
4/27/2020	8590	522
4/28/2020	9318	728
4/29/2020	9915	597
4/30/2020	10498	583
5/1/2020	11506	1008
5/2/2020	12296	790
5/3/2020	12974	678
5/4/2020	14541	1567
5/5/2020	15525	984
5/6/2020	16758	1233
5/7/2020	17974	1216
5/8/2020	19063	1089
5/9/2020	20228	1165
5/10/2020	22171	1943
5/11/2020	23401	1230
5/12/2020	24427	1026
5/13/2020	25922	1495
5/14/2020	27524	1602
5/15/2020	29100	1576
5/16/2020	30706	1606
5/17/2020	33053	2347
5/18/2020	35058	2005
5/19/2020	37136	2078
5/20/2020	39297	2161
5/21/2020	41642	2345
5/22/2020	44582	2940
5/23/2020	47190	2608
5/24/2020	50231	3041
5/25/2020	52667	2436
5/26/2020	54758	2091
5/27/2020	56948	2190
5/28/2020	59546	2598
5/29/2020	62228	2682
5/30/2020	65168	2940
5/31/2020	67655	2487
6/1/2020	70013	2358
6/2/2020	72300	2287
6/3/2020	74860	2560
6/4/2020	77793	2933
6/5/2020	80229	2436
6/6/2020	82968	2739
6/7/2020	85975	3007
6/8/2020	88529	2554
6/9/2020	90787	2258
6/10/2020	94041	3254
6/11/2020	97648	3607
6/12/2020	101141	3493
6/13/2020	104568	3427
6/14/2020	0	0
