Date	US-TD	US-TR	US-TC	NZ-TD	NZ-TR	NZ-TC	IN-TD	IN-TR	IN-TC	US-D	US-R	US-C	NZ-D	NZ-R	NZ-C	IN-D	IN-R	IN-C
1/21/2020	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
1/22/2020	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1/23/2020	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1/24/2020	0	0	2	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
1/25/2020	0	0	3	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
1/26/2020	0	0	5	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0
1/27/2020	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1/28/2020	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1/29/2020	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1/30/2020	0	0	6	0	0	0	0	0	1	0	0	1	0	0	0	0	0	1
1/31/2020	0	0	7	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0
2/1/2020	0	0	8	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0
2/2/2020	0	0	11	0	0	0	0	0	2	0	0	3	0	0	0	0	0	1
2/3/2020	0	0	11	0	0	0	0	0	3	0	0	0	0	0	0	0	0	1
2/4/2020	0	0	11	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0
2/5/2020	0	0	12	0	0	0	0	0	3	0	0	1	0	0	0	0	0	0
2/6/2020	0	0	12	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0
2/7/2020	0	0	12	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0
2/8/2020	0	0	12	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0
2/9/2020	0	0	12	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0
2/10/2020	0	0	12	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0
