Date	IN-TD	IN-TR	IN-TC	IN-D	IN-R	IN-C
1/21/2020	0	0	0	0	0	0
1/22/2020	0	0	0	0	0	0
1/23/2020	0	0	0	0	0	0
1/24/2020	0	0	0	0	0	0
1/25/2020	0	0	0	0	0	0
1/26/2020	0	0	0	0	0	0
1/27/2020	0	0	0	0	0	0
1/28/2020	0	0	0	0	0	0
1/29/2020	0	0	0	0	0	0
1/30/2020	0	0	1	0	0	1
1/31/2020	0	0	1	0	0	0
2/1/2020	0	0	1	0	0	0
2/2/2020	0	0	2	0	0	1
2/3/2020	0	0	3	0	0	1
2/4/2020	0	0	3	0	0	0
2/5/2020	0	0	3	0	0	0
2/6/2020	0	0	3	0	0	0
2/7/2020	0	0	3	0	0	0
2/8/2020	0	0	3	0	0	0
2/9/2020	0	0	3	0	0	0
2/10/2020	0	0	3	0	0	0
2/11/2020	0	0	3	0	0	0
2/12/2020	0	0	3	0	0	0
2/13/2020	0	0	3	0	0	0
2/14/2020	0	0	3	0	0	0
2/15/2020	0	0	3	0	0	0
2/16/2020	0	0	3	0	0	0
2/17/2020	0	0	3	0	0	0
2/18/2020	0	0	3	0	0	0
2/19/2020	0	0	3	0	0	0
2/20/2020	0	0	3	0	0	0
2/21/2020	0	0	3	0	0	0
2/22/2020	0	0	3	0	0	0
2/23/2020	0	0	3	0	0	0
2/24/2020	0	0	3	0	0	0
2/25/2020	0	0	3	0	0	0
2/26/2020	0	0	3	0	0	0
2/27/2020	0	0	3	0	0	0
2/28/2020	0	0	3	0	0	0
2/29/2020	0	0	3	0	0	0
3/1/2020	0	0	3	0	0	0
3/2/2020	0	3	5	0	3	2
3/3/2020	0	3	6	0	0	1
3/4/2020	0	3	28	0	0	22
3/5/2020	0	3	30	0	0	2
3/6/2020	0	3	31	0	0	1
3/7/2020	0	3	34	0	0	3
3/8/2020	0	3	39	0	0	5
3/9/2020	0	3	44	0	0	5
3/10/2020	0	3	50	0	0	6
3/11/2020	0	3	60	0	0	10
3/12/2020	1	3	74	1	0	14
3/13/2020	2	10	81	1	7	7
3/14/2020	2	10	84	0	0	3
3/15/2020	2	13	110	0	3	26
3/16/2020	2	13	114	0	0	4
3/17/2020	3	14	137	1	1	23
3/18/2020	3	14	151	0	0	14
3/19/2020	4	20	173	1	6	22
3/20/2020	4	23	223	0	3	50
3/21/2020	4	23	315	0	0	92
3/22/2020	7	24	360	3	1	45
3/23/2020	9	35	468	2	11	108
3/24/2020	10	40	519	1	5	51
3/25/2020	10	43	606	0	3	87
3/26/2020	16	45	694	6	2	88
3/27/2020	19	67	834	3	22	140
