Date	US-TR	NZ-TR	IN-TR	US-R	NZ-R	IN-R
1/21/2020	0	0	0	0	0	0
1/22/2020	0	0	0	0	0	0
1/23/2020	0	0	0	0	0	0
1/24/2020	0	0	0	0	0	0
1/25/2020	0	0	0	0	0	0
1/26/2020	0	0	0	0	0	0
1/27/2020	0	0	0	0	0	0
1/28/2020	0	0	0	0	0	0
1/29/2020	0	0	0	0	0	0
1/30/2020	0	0	0	0	0	0
1/31/2020	0	0	0	0	0	0
2/1/2020	0	0	0	0	0	0
2/2/2020	0	0	0	0	0	0
2/3/2020	0	0	0	0	0	0
2/4/2020	0	0	0	0	0	0
2/5/2020	0	0	0	0	0	0
2/6/2020	0	0	0	0	0	0
2/7/2020	0	0	0	0	0	0
2/8/2020	0	0	0	0	0	0
2/9/2020	0	0	0	0	0	0
2/10/2020	0	0	0	0	0	0
2/11/2020	0	0	0	0	0	0
2/12/2020	0	0	0	0	0	0
2/13/2020	0	0	0	0	0	0
2/14/2020	0	0	0	0	0	0
2/15/2020	0	0	0	0	0	0
2/16/2020	0	0	0	0	0	0
2/17/2020	5	0	0	5	0	0
2/18/2020	5	0	0	0	0	0
2/19/2020	5	0	0	0	0	0
2/20/2020	5	0	0	0	0	0
2/21/2020	5	0	0	0	0	0
2/22/2020	5	0	0	0	0	0
2/23/2020	5	0	0	0	0	0
2/24/2020	5	0	0	0	0	0
2/25/2020	5	0	0	0	0	0
2/26/2020	6	0	0	1	0	0
2/27/2020	6	0	0	0	0	0
2/28/2020	6	0	0	0	0	0
2/29/2020	7	0	0	1	0	0
3/1/2020	9	0	0	2	0	0
3/2/2020	9	0	3	0	0	3
3/3/2020	9	0	3	0	0	0
3/4/2020	9	0	3	0	0	0
3/5/2020	9	0	3	0	0	0
3/6/2020	15	0	3	6	0	0
3/7/2020	15	0	3	0	0	0
3/8/2020	15	0	3	0	0	0
3/9/2020	15	0	3	0	0	0
3/10/2020	15	0	3	0	0	0
3/11/2020	15	0	3	0	0	0
3/12/2020	15	0	3	0	0	0
3/13/2020	16	0	10	1	0	7
3/14/2020	49	0	10	33	0	0
3/15/2020	60	1	13	11	1	3
3/16/2020	75	1	13	15	0	0
3/17/2020	107	1	14	32	0	1
3/18/2020	107	1	14	0	0	0
3/19/2020	109	1	20	2	0	6
3/20/2020	147	1	23	38	0	3
3/21/2020	171	1	23	24	0	0
3/22/2020	178	1	24	7	0	1
3/23/2020	296	1	35	118	0	11
3/24/2020	379	12	40	83	11	5
3/25/2020	394	22	43	15	10	3
3/26/2020	1864	27	45	1470	5	2
3/27/2020	2465	37	67	601	10	22
