Date	IN-TR	IN-R
1/21/2020	0	0
1/22/2020	0	0
1/23/2020	0	0
1/24/2020	0	0
1/25/2020	0	0
1/26/2020	0	0
1/27/2020	0	0
1/28/2020	0	0
1/29/2020	0	0
1/30/2020	0	0
1/31/2020	0	0
2/1/2020	0	0
2/2/2020	0	0
2/3/2020	0	0
2/4/2020	0	0
2/5/2020	0	0
2/6/2020	0	0
2/7/2020	0	0
2/8/2020	0	0
2/9/2020	0	0
2/10/2020	0	0
2/11/2020	0	0
2/12/2020	0	0
2/13/2020	0	0
2/14/2020	0	0
2/15/2020	0	0
2/16/2020	0	0
2/17/2020	0	0
2/18/2020	0	0
2/19/2020	0	0
2/20/2020	0	0
2/21/2020	0	0
2/22/2020	0	0
2/23/2020	0	0
2/24/2020	0	0
2/25/2020	0	0
2/26/2020	0	0
2/27/2020	0	0
2/28/2020	0	0
2/29/2020	0	0
3/1/2020	0	0
3/2/2020	3	3
3/3/2020	3	0
3/4/2020	3	0
3/5/2020	3	0
3/6/2020	3	0
3/7/2020	3	0
3/8/2020	3	0
3/9/2020	3	0
3/10/2020	3	0
3/11/2020	3	0
3/12/2020	3	0
3/13/2020	10	7
3/14/2020	10	0
3/15/2020	13	3
3/16/2020	13	0
3/17/2020	14	1
3/18/2020	14	0
3/19/2020	20	6
3/20/2020	23	3
3/21/2020	23	0
3/22/2020	24	1
3/23/2020	35	11
3/24/2020	40	5
3/25/2020	43	3
3/26/2020	45	2
3/27/2020	67	22
3/28/2020	80	13
3/29/2020	96	16
3/30/2020	102	6
3/31/2020	124	22
4/1/2020	144	20
4/2/2020	156	12
4/3/2020	163	7
4/4/2020	213	50
4/5/2020	275	62
4/6/2020	319	44
4/7/2020	353	34
4/8/2020	411	58
4/9/2020	478	67
4/10/2020	516	38
4/11/2020	653	137
4/12/2020	765	112
4/13/2020	980	215
4/14/2020	1190	210
4/15/2020	1344	154
4/16/2020	1515	171
4/17/2020	1767	252
4/18/2020	2015	248
4/19/2020	2302	287
4/20/2020	2842	540
4/21/2020	3260	418
4/22/2020	3960	700
4/23/2020	4325	365
4/24/2020	4814	489
4/25/2020	5210	396
4/26/2020	5914	704
4/27/2020	6362	448
4/28/2020	7027	665
4/29/2020	7797	770
4/30/2020	8373	576
5/1/2020	9065	692
5/2/2020	10018	953
5/3/2020	10887	869
5/4/2020	11762	875
5/5/2020	13161	1399
5/6/2020	14183	1022
5/7/2020	15267	1084
5/8/2020	16540	1273
5/9/2020	17847	1307
5/10/2020	19358	1511
5/11/2020	20917	1559
5/12/2020	22455	1538
5/13/2020	24386	1931
5/14/2020	26235	1849
5/15/2020	27920	1685
5/16/2020	30153	2233
5/17/2020	34109	3956
5/18/2020	36824	2715
5/19/2020	39174	2350
5/20/2020	42298	3124
5/21/2020	45300	3002
5/22/2020	48534	3234
5/23/2020	51784	3250
5/24/2020	54441	2657
5/25/2020	57721	3280
5/26/2020	60491	2770
5/27/2020	64426	3935
5/28/2020	67692	3266
5/29/2020	71106	3414
5/30/2020	82370	11264
5/31/2020	86984	4614
6/1/2020	91819	4835
6/2/2020	95527	3708
6/3/2020	100303	4776
6/4/2020	104107	3804
6/5/2020	109462	5355
6/6/2020	114073	4611
6/7/2020	119293	5220
6/8/2020	124430	5137
6/9/2020	129314	4884
6/10/2020	135206	5892
6/11/2020	141029	5823
6/12/2020	147195	6166
6/13/2020	154330	7135
6/14/2020	162379	8049
