Date	NZ-TR	NZ-R
1/21/2020	0	0
1/22/2020	0	0
1/23/2020	0	0
1/24/2020	0	0
1/25/2020	0	0
1/26/2020	0	0
1/27/2020	0	0
1/28/2020	0	0
1/29/2020	0	0
1/30/2020	0	0
1/31/2020	0	0
2/1/2020	0	0
2/2/2020	0	0
2/3/2020	0	0
2/4/2020	0	0
2/5/2020	0	0
2/6/2020	0	0
2/7/2020	0	0
2/8/2020	0	0
2/9/2020	0	0
2/10/2020	0	0
2/11/2020	0	0
2/12/2020	0	0
2/13/2020	0	0
2/14/2020	0	0
2/15/2020	0	0
2/16/2020	0	0
2/17/2020	0	0
2/18/2020	0	0
2/19/2020	0	0
2/20/2020	0	0
2/21/2020	0	0
2/22/2020	0	0
2/23/2020	0	0
2/24/2020	0	0
2/25/2020	0	0
2/26/2020	0	0
2/27/2020	0	0
2/28/2020	0	0
2/29/2020	0	0
3/1/2020	0	0
3/2/2020	0	0
3/3/2020	0	0
3/4/2020	0	0
3/5/2020	0	0
3/6/2020	0	0
3/7/2020	0	0
3/8/2020	0	0
3/9/2020	0	0
3/10/2020	0	0
3/11/2020	0	0
3/12/2020	0	0
3/13/2020	0	0
3/14/2020	0	0
3/15/2020	1	1
3/16/2020	1	0
3/17/2020	1	0
3/18/2020	1	0
3/19/2020	1	0
3/20/2020	1	0
3/21/2020	1	0
3/22/2020	1	0
3/23/2020	1	0
3/24/2020	12	11
3/25/2020	22	10
3/26/2020	27	5
3/27/2020	37	10
3/28/2020	50	13
3/29/2020	56	6
3/30/2020	63	7
3/31/2020	74	11
4/1/2020	82	8
4/2/2020	92	10
4/3/2020	103	11
4/4/2020	127	24
4/5/2020	156	29
4/6/2020	176	20
4/7/2020	241	65
4/8/2020	282	41
4/9/2020	317	35
4/10/2020	373	56
4/11/2020	422	49
4/12/2020	471	49
4/13/2020	546	75
4/14/2020	628	82
4/15/2020	728	100
4/16/2020	770	42
4/17/2020	816	46
4/18/2020	867	51
4/19/2020	912	45
4/20/2020	970	58
4/21/2020	1006	36
4/22/2020	1036	30
4/23/2020	1065	29
4/24/2020	1095	30
4/25/2020	1118	23
4/26/2020	1142	24
4/27/2020	1180	38
4/28/2020	1214	34
4/29/2020	1229	15
4/30/2020	1241	12
5/1/2020	1252	11
5/2/2020	1263	11
5/3/2020	1266	3
5/4/2020	1276	10
5/5/2020	1302	26
5/6/2020	1316	14
5/7/2020	1332	16
5/8/2020	1347	15
5/9/2020	1368	21
5/10/2020	1371	3
5/11/2020	1386	15
5/12/2020	1398	12
5/13/2020	1402	4
5/14/2020	1411	9
5/15/2020	1421	10
5/16/2020	1428	7
5/17/2020	1433	5
5/18/2020	1433	0
5/19/2020	1442	9
5/20/2020	1447	5
5/21/2020	1452	5
5/22/2020	1455	3
5/23/2020	1455	0
5/24/2020	1456	1
5/25/2020	1456	0
5/26/2020	1461	5
5/27/2020	1462	1
5/28/2020	1474	12
5/29/2020	1481	7
5/30/2020	1481	0
5/31/2020	1481	0
6/1/2020	1481	0
6/2/2020	1481	0
6/3/2020	1481	0
6/4/2020	1481	0
6/5/2020	1481	0
6/6/2020	1481	0
6/7/2020	1481	0
6/8/2020	1482	1
6/9/2020	1482	0
6/10/2020	1482	0
6/11/2020	1482	0
6/12/2020	1482	0
6/13/2020	1482	0
6/14/2020	1482	0
