Date	US-TC	NZ-TC	IN-TC	US-C	NZ-C	IN-C
1/21/2020	1	0	0	1	0	0
1/22/2020	1	0	0	0	0	0
1/23/2020	1	0	0	0	0	0
1/24/2020	2	0	0	1	0	0
1/25/2020	3	0	0	1	0	0
1/26/2020	5	0	0	2	0	0
1/27/2020	5	0	0	0	0	0
1/28/2020	5	0	0	0	0	0
1/29/2020	5	0	0	0	0	0
1/30/2020	6	0	1	1	0	1
1/31/2020	7	0	1	1	0	0
2/1/2020	8	0	1	1	0	0
2/2/2020	11	0	2	3	0	1
2/3/2020	11	0	3	0	0	1
2/4/2020	11	0	3	0	0	0
2/5/2020	12	0	3	1	0	0
2/6/2020	12	0	3	0	0	0
2/7/2020	12	0	3	0	0	0
2/8/2020	12	0	3	0	0	0
2/9/2020	12	0	3	0	0	0
2/10/2020	12	0	3	0	0	0
2/11/2020	12	0	3	0	0	0
2/12/2020	12	0	3	0	0	0
2/13/2020	12	0	3	0	0	0
2/14/2020	12	0	3	0	0	0
2/15/2020	12	0	3	0	0	0
2/16/2020	12	0	3	0	0	0
2/17/2020	12	0	3	0	0	0
2/18/2020	12	0	3	0	0	0
2/19/2020	12	0	3	0	0	0
2/20/2020	14	0	3	2	0	0
2/21/2020	14	0	3	0	0	0
2/22/2020	14	0	3	0	0	0
2/23/2020	14	0	3	0	0	0
2/24/2020	14	0	3	0	0	0
2/25/2020	14	0	3	0	0	0
2/26/2020	15	0	3	1	0	0
2/27/2020	15	0	3	0	0	0
2/28/2020	19	1	3	4	1	0
2/29/2020	24	1	3	5	0	0
3/1/2020	42	1	3	18	0	0
3/2/2020	57	1	5	15	0	2
3/3/2020	85	1	6	28	0	1
3/4/2020	111	2	28	26	1	22
3/5/2020	175	4	30	64	2	2
3/6/2020	252	4	31	77	0	1
3/7/2020	353	5	34	101	1	3
3/8/2020	497	5	39	144	0	5
3/9/2020	645	5	44	148	0	5
3/10/2020	936	5	50	291	0	6
3/11/2020	1205	5	60	269	0	10
3/12/2020	1598	5	74	393	0	14
3/13/2020	2163	5	81	565	0	7
3/14/2020	2825	6	84	662	1	3
3/15/2020	3501	8	110	676	2	26
3/16/2020	4373	8	114	872	0	4
3/17/2020	5664	12	137	1291	4	23
3/18/2020	8074	20	151	2410	8	14
3/19/2020	12022	28	173	3948	8	22
3/20/2020	17439	39	223	5417	11	50
3/21/2020	23710	52	315	6271	13	92
3/22/2020	32341	66	360	8631	14	45
3/23/2020	42751	102	468	10410	36	108
3/24/2020	52690	155	519	9939	53	51
3/25/2020	64916	205	606	12226	50	87
3/26/2020	81966	283	694	17050	78	88
3/27/2020	101012	368	834	19046	85	140
3/28/2020	121105	451	918	20093	83	84
3/29/2020	140223	514	1024	19118	63	106
3/30/2020	160686	589	1251	20463	75	227
3/31/2020	185991	647	1397	25305	58	146
4/1/2020	212747	708	1834	26756	61	437
4/2/2020	241626	797	2069	28879	89	235
4/3/2020	274151	868	2547	32525	71	478
4/4/2020	307876	950	3072	33725	82	525
4/5/2020	333593	1039	3577	25717	89	505
4/6/2020	362952	1106	4281	29359	67	704
4/7/2020	393464	1160	4789	30512	54	508
4/8/2020	425746	1210	5274	32282	50	485
4/9/2020	459989	1239	5865	34243	29	591
