Date	IN-TC	IN-C
1/21/2020	0	0
1/22/2020	0	0
1/23/2020	0	0
1/24/2020	0	0
1/25/2020	0	0
1/26/2020	0	0
1/27/2020	0	0
1/28/2020	0	0
1/29/2020	0	0
1/30/2020	1	1
1/31/2020	1	0
2/1/2020	1	0
2/2/2020	2	1
2/3/2020	3	1
2/4/2020	3	0
2/5/2020	3	0
2/6/2020	3	0
2/7/2020	3	0
2/8/2020	3	0
2/9/2020	3	0
2/10/2020	3	0
2/11/2020	3	0
2/12/2020	3	0
2/13/2020	3	0
2/14/2020	3	0
2/15/2020	3	0
2/16/2020	3	0
2/17/2020	3	0
2/18/2020	3	0
2/19/2020	3	0
2/20/2020	3	0
2/21/2020	3	0
2/22/2020	3	0
2/23/2020	3	0
2/24/2020	3	0
2/25/2020	3	0
2/26/2020	3	0
2/27/2020	3	0
2/28/2020	3	0
2/29/2020	3	0
3/1/2020	3	0
3/2/2020	5	2
3/3/2020	6	1
3/4/2020	28	22
3/5/2020	30	2
3/6/2020	31	1
3/7/2020	34	3
3/8/2020	39	5
3/9/2020	44	5
3/10/2020	50	6
3/11/2020	60	10
3/12/2020	74	14
3/13/2020	81	7
3/14/2020	84	3
3/15/2020	110	26
3/16/2020	114	4
3/17/2020	137	23
3/18/2020	151	14
3/19/2020	173	22
3/20/2020	223	50
3/21/2020	315	92
3/22/2020	360	45
3/23/2020	468	108
3/24/2020	519	51
3/25/2020	606	87
3/26/2020	694	88
3/27/2020	834	140
3/28/2020	918	84
3/29/2020	1024	106
3/30/2020	1251	227
3/31/2020	1397	146
4/1/2020	1834	437
4/2/2020	2069	235
4/3/2020	2547	478
4/4/2020	3072	525
4/5/2020	3577	505
4/6/2020	4281	704
4/7/2020	4789	508
4/8/2020	5274	485
4/9/2020	5865	591
4/10/2020	6761	896
4/11/2020	7529	768
4/12/2020	8447	918
4/13/2020	9352	905
4/14/2020	10815	1463
4/15/2020	11933	1118
4/16/2020	12759	826
4/17/2020	13835	1076
4/18/2020	14792	957
4/19/2020	16116	1324
4/20/2020	17656	1540
4/21/2020	18985	1329
4/22/2020	20471	1486
4/23/2020	21700	1229
4/24/2020	23452	1752
4/25/2020	24942	1490
4/26/2020	26917	1975
4/27/2020	28380	1463
4/28/2020	29974	1594
4/29/2020	31787	1813
4/30/2020	33610	1823
5/1/2020	35365	1755
5/2/2020	37776	2411
5/3/2020	40263	2487
5/4/2020	42836	2573
5/5/2020	46711	3875
5/6/2020	49391	2680
5/7/2020	52952	3561
5/8/2020	56342	3390
5/9/2020	59662	3320
5/10/2020	62939	3277
5/11/2020	67152	4213
5/12/2020	70756	3604
5/13/2020	74281	3525
5/14/2020	78003	3722
5/15/2020	81970	3967
5/16/2020	85940	3970
5/17/2020	90927	4987
5/18/2020	96169	5242
5/19/2020	101139	4970
5/20/2020	106750	5611
5/21/2020	112359	5609
5/22/2020	118447	6088
5/23/2020	125101	6654
5/24/2020	131868	6767
5/25/2020	138845	6977
5/26/2020	145380	6535
5/27/2020	151767	6387
5/28/2020	158333	6566
5/29/2020	165799	7466
5/30/2020	173763	7964
5/31/2020	182143	8380
6/1/2020	190535	8392
6/2/2020	198706	8171
6/3/2020	207615	8909
6/4/2020	216919	9304
6/5/2020	226770	9851
6/6/2020	236657	9887
6/7/2020	246628	9971
6/8/2020	256611	9983
6/9/2020	266598	9987
6/10/2020	276583	9985
6/11/2020	286579	9996
6/12/2020	297535	10956
6/13/2020	308993	11458
6/14/2020	320922	11929
