Date	NZ-TC	NZ-C
1/21/2020	0	0
1/22/2020	0	0
1/23/2020	0	0
1/24/2020	0	0
1/25/2020	0	0
1/26/2020	0	0
1/27/2020	0	0
1/28/2020	0	0
1/29/2020	0	0
1/30/2020	0	0
1/31/2020	0	0
2/1/2020	0	0
2/2/2020	0	0
2/3/2020	0	0
2/4/2020	0	0
2/5/2020	0	0
2/6/2020	0	0
2/7/2020	0	0
2/8/2020	0	0
2/9/2020	0	0
2/10/2020	0	0
2/11/2020	0	0
2/12/2020	0	0
2/13/2020	0	0
2/14/2020	0	0
2/15/2020	0	0
2/16/2020	0	0
2/17/2020	0	0
2/18/2020	0	0
2/19/2020	0	0
2/20/2020	0	0
2/21/2020	0	0
2/22/2020	0	0
2/23/2020	0	0
2/24/2020	0	0
2/25/2020	0	0
2/26/2020	0	0
2/27/2020	0	0
2/28/2020	1	1
2/29/2020	1	0
3/1/2020	1	0
3/2/2020	1	0
3/3/2020	1	0
3/4/2020	2	1
3/5/2020	4	2
3/6/2020	4	0
3/7/2020	5	1
3/8/2020	5	0
3/9/2020	5	0
3/10/2020	5	0
3/11/2020	5	0
3/12/2020	5	0
3/13/2020	5	0
3/14/2020	6	1
3/15/2020	8	2
3/16/2020	8	0
3/17/2020	12	4
3/18/2020	20	8
3/19/2020	28	8
3/20/2020	39	11
3/21/2020	52	13
3/22/2020	66	14
3/23/2020	102	36
3/24/2020	155	53
3/25/2020	205	50
3/26/2020	283	78
3/27/2020	368	85
3/28/2020	451	83
3/29/2020	514	63
3/30/2020	589	75
3/31/2020	647	58
4/1/2020	708	61
4/2/2020	797	89
4/3/2020	868	71
4/4/2020	950	82
4/5/2020	1039	89
4/6/2020	1106	67
4/7/2020	1160	54
4/8/2020	1210	50
4/9/2020	1239	29
4/10/2020	1283	44
4/11/2020	1312	29
4/12/2020	1330	18
4/13/2020	1349	19
4/14/2020	1366	17
4/15/2020	1386	20
4/16/2020	1401	15
4/17/2020	1409	8
4/18/2020	1422	13
4/19/2020	1431	9
4/20/2020	1440	9
4/21/2020	1445	5
4/22/2020	1448	3
4/23/2020	1451	3
4/24/2020	1456	5
4/25/2020	1461	5
4/26/2020	1470	9
4/27/2020	1469	0
4/28/2020	1472	3
4/29/2020	1474	2
4/30/2020	1476	2
5/1/2020	1479	3
5/2/2020	1485	6
5/3/2020	1487	2
5/4/2020	1487	0
5/5/2020	1486	0
5/6/2020	1488	2
5/7/2020	1489	1
5/8/2020	1490	1
5/9/2020	1492	2
5/10/2020	1494	2
5/11/2020	1497	3
5/12/2020	1497	0
5/13/2020	1497	0
5/14/2020	1497	0
5/15/2020	1498	1
5/16/2020	1498	0
5/17/2020	1499	1
5/18/2020	1499	0
5/19/2020	1503	4
5/20/2020	1503	0
5/21/2020	1503	0
5/22/2020	1504	1
5/23/2020	1504	0
5/24/2020	1504	0
5/25/2020	1504	0
5/26/2020	1504	0
5/27/2020	1504	0
5/28/2020	1504	0
5/29/2020	1504	0
5/30/2020	1504	0
5/31/2020	1504	0
6/1/2020	1504	0
6/2/2020	1504	0
6/3/2020	1504	0
6/4/2020	1504	0
6/5/2020	1504	0
6/6/2020	1504	0
6/7/2020	1504	0
6/8/2020	1504	0
6/9/2020	1504	0
6/10/2020	1504	0
6/11/2020	1504	0
6/12/2020	1504	0
6/13/2020	1504	0
6/14/2020	1504	0
